varNum,ratio,time
20, 1.0, 39.98531346321106
20, 1.5, 44.424865865707396
20, 2.0, 49.75618097782135
20, 2.5, 53.73573546409607
20, 3.0, 58.908395767211914
20, 3.5, 64.10502481460571
20, 4.0, 70.37859361171722
20, 4.5, 74.77005801200866
20, 5.0, 79.92809352874755
20, 5.5, 32.88909995555878
20, 6.0, 27.71121389865875
20, 6.5, 27.66255156993866
20, 7.0, 27.648074650764464
20, 7.5,27.698919010162353
25, 1.0, 43.36902678012848
25, 1.5, 49.15967075824737
25, 2.0, 55.36144735813141
25, 2.5, 61.43276512622833
25, 3.0, 68.18685491085053
25, 3.5, 74.93056075572967
25, 4.0, 82.3508929014206
25, 4.5, 27.66824839115143
25, 5.0, 27.725632977485656
25, 5.5, 27.787474846839906
25, 6.0, 27.83150930404663
25, 6.5, 27.83150930404663
25, 7.0,27.910352873802186
25, 7.5, 27.87910199165344
30, 1.0, 47.535012173652646
30, 1.5, 54.84736983776092
30, 2.0, 63.118309831619264
30, 2.5, 70.5371443271637
30, 3.0, 79.69336664676666
30, 3.5, 30.208725094795227
30, 4.0, 29.254645442962648
30, 4.5, 28.647176814079284
30, 5.0, 29.709929943084717
30, 5.5, 28.94769651889801
30, 6.0, 28.463750052452088
30, 6.5, 29.624629344940182
30, 7.0, 28.548230910301207
30, 7.5, 29.709637370109554
35, 1.0, 50.27496228218079
35, 1.5, 58.69641478061676
35, 2.0, 72.60961818695068
35, 2.5, 81.48557815551757
35, 3.0, 29.855975842475893
35, 3.5, 32.168623423576356
35, 4.0, 32.97021560668945
35, 4.5, 28.897346687316894
35, 5.0, 29.7346687316894
35, 5.5, 29.760867524147034
35, 6.0, 29.237830305099486
35, 6.5, 29.517157125473023
35, 7.0, 29.06854088306427
35, 7.5, 29.198858904838563
40, 1.0, 53.748802471160886
40, 1.5, 67.69122288227081
40, 2.0, 83.21801986694337
40, 2.5, 32.02808252970378
40, 3.0, 31.28215106328328
40, 3.5, 30.387135903040569
40, 4.0, 35.32443197568257
40, 4.5, 30.91006326675415
40, 5.0, 29.81190144220988
40, 5.5, 29.77706122398376
40, 6.0, 28.81395037968953
40, 6.5, 31.83743896484375
40,	7.0, 28.622610489527386
40,	7.5, 28.6245010693868
45,	1.0, 57.6477459271749
45,	1.5, 70.6154744423679
45, 2.0, 82.45425674915313
45, 2.5, 33.57358124256134
45, 3.0, 30.706067276000976
45, 3.5, 29.866932773590086
45, 4.0, 29.60657081604004
45, 4.5, 28.648828005790712
45, 5.0, 46.27441620826721
45,	5.5, 32.36296478907267
45, 6.0, 35.648828005790712
45,	6.5, 36.292235136032104
45,	7.0, 39.59904743830363
45,	7.5, 28.6245010693868
