varNum,ratio,time
20, 1.0, 45.70566542943319
20, 1.5, 47.219886302948
20, 2.0, 52.1034369468689
20, 2.5, 56.37222822507223
20, 3.0, 61.504615704218544
20, 3.5, 65.29331509272258
20, 4.0, 72.90069429079692
20, 4.5, 77.50753410657246
20, 5.0, 83.57508714993794
20, 5.5, 29.401904106140137
20, 6.0, 27.59347144762675
20, 6.5, 27.804115215937298
20, 7.0, 28.483735243479412
20, 7.5, 28.681826035181682
25, 1.0, 47.5074569384257
25, 1.5, 52.67676750818888
25, 2.0, 59.165420611699425
25, 2.5, 66.19887026151021
25, 3.0, 87.62359245618184
25, 3.5, 91.556556224823
25, 4.0, 88.75997527440389
25, 4.5, 29.330617427825928
25, 5.0, 29.19486975669861
25, 5.5, 28.653613090515137
25, 6.0, 28.519442717234295
25, 6.5, 28.38895257314046
25, 7.0, 29.0862033367157
25, 7.5, 28.9009374777476
30, 1.0, 48.49662160873413
30, 1.5, 56.370399395624794
30, 2.0, 66.13684177398682
30, 2.5, 73.9581127166748
30, 3.0, 88.73916800816853
30, 3.5, 35.37582413355509
30, 4.0, 32.796212673187256
30, 4.5, 30.02764304478963
30, 5.0, 33.9198260307312
30, 5.5, 33.93006181716919
30, 6.0, 35.84627294540405
30, 6.5, 33.534257332483925
30, 7.0, 39.14834189414978
30, 7.5, 36.03388945261637
35, 1.0, 52.19134163856506
35, 1.5, 62.54693420728048
35, 2.0, 77.96145009994507
35, 2.5, 94.8779369990031
35, 3.0, 33.39228177070618
35, 3.5, 36.63161436716715
35, 4.0, 31.5772971312205
35, 4.5, 1229.8547707398732
35, 5.0, 28.640751441319782
35, 5.5, 31.61567521095276
35, 6.0, 32.20759844779968
35, 6.5, 29.964943567911785
35, 7.0, 40.41057928403219
35, 7.5, 41.653930266698204
40, 1.0, 58.616357485453285
40, 1.5, 71.87488023440044
40, 2.0, 84.26381595929463
40, 2.5, 40.674874464670815
40, 3.0, 34.82987976074219
40, 3.5, 30.378929058710735
40, 4.0, 28.50690746307373
40, 4.5, 29.73223050435384
40, 5.0, 29.841098149617512
40, 5.5, 29.740597089131672
40, 6.0, 28.615267435709637
40, 6.5, 29.298259973526
40, 7.0, 28.622610489527386
40, 7.5, 28.6245010693868
45, 1.0, 56.31768568356832
45, 1.5, 70.43269968032837
45, 2.0, 81.79489795366923
45, 2.5, 30.19554114341736
45, 3.0, 29.3774090607961
45, 3.5, 111.61318548520406
45, 4.0, 28.33069094022115
45, 4.5, 32.66884422302246
45, 5.0, 1641.8738468488057
45, 5.5, 33.36296478907267
45, 6.0, 34.512203296025596
45, 6.5, 46.292235136032104
45, 7.0, 38.49904743830363
45, 7.5, 28.6245010693868
