varNum,ratio,time
20, 1.0, 0.5872206687927246
20, 1.5, 0.8606917858123779
20, 2.0, 1.4105809529622395
20, 2.5, 2.73186461130778
20, 3.0, 1.975190242131551
20, 3.5, 2.4291864236195884
20, 4.0, 3.34867262840271
20, 4.5, 5.575860897699992
20, 5.0, 2.9386783440907798
20, 5.5, 2.5379558404286704
20, 6.0, 4.251393795013428
20, 6.5, 3.888913869857788
20, 7.0, 4.452540000279744
20, 7.5, 3.949175993601481
25, 1.0, 0.7226901849110922
25, 1.5, 1.781089464823405
25, 2.0, 7.838831981023152
25, 2.5, 6.913894812266032
25, 3.0, 14.257381121317545
25, 3.5, 234.74503842989603
25, 4.0, 16.918509165445965
25, 4.5, 15.767254114151001
25, 5.0, 25.75419608751933
25, 5.5, 50.62229617436727
25, 6.0, 24.606235424677532
25, 6.5, 18.399160782496136
25, 7.0, 602.8736317157745
25, 7.5, 43.043126265207924
30, 1.0, 1.0167277654012044
30, 1.5, 14.69847853978475
30, 2.0, 50.26624687512716
30, 2.5, 70.27958909670512
30, 3.0, 182.88510950406393
30, 3.5, 177.68646041552225
30, 4.0, 187.33481431007385
30, 4.5, 97.75602300961812
30, 5.0, 157.3157676855723
30, 5.5, 140.3417980670929
30, 6.0, 138.94084095954895
30, 6.5, 155.117951075236
30, 7.0, 191.61528221766153
30, 7.5, 174.87195706367493
35, 1.0, 5.154180288314819
35, 1.5, 207.94605286916098
35, 2.0, 237.575581630071
35, 2.5, 253.78206046422324
35, 3.0, 263.31099820137024
35, 3.5, 292.4315173625946
35, 4.0, 293.08850892384845
35, 4.5, 348.24253996213275
35, 5.0, 1165.9882511297862
35, 5.5, 251.33299827575684
35, 6.0, 400.09313710530597
35, 6.5, 224.3493448893229
35, 7.0, 468.8199944496155
35, 7.5, 298.90764713287354
40, 1.0, 21.11343328158061
40, 1.5, 450.4632812341054
40, 2.0, 326.5388167699178
40, 2.5, 364.26925587654114
40, 3.0, 675.4892945289612
40, 3.5, 459.62047203381854
40, 4.0, 613.2249711354574
40, 4.5, 577.2128574848175
40, 5.0, 429.0423789024353
40, 5.5, 886.234386920929
40, 6.0, 503.09520093599957
40, 6.5, 425.1248641014099
40, 7.0, 1740.641296227773
40, 7.5, 633.6477459271749
45, 1.0, 96.345277150472
45, 1.5, 697.4138356049856
45, 2.0, 572.5429951349894
45, 2.5, 679.8794991175333
45, 3.0, 3359.8628565470376
45, 3.5, 729.0532507101694
45, 4.0, 1462.6272059281666
45, 4.5, 922.6035188039144
45, 5.0, 436.10696999231976
45, 5.5, 365.48979051907855
45, 6.0, 531.4626262982687
45, 6.5, 387.425461769104
45, 7.0, 486.04812781016034
45, 7.5, 633.6477459271749
